Room,Pot,Species,Room1,CO2_treatment,Temperature,measurement_temperature,water_treatment,PARi,Photo,Ci
7,514,E. saligna,7,640,elevated,28,wet,1499,16.4,472
7,514,E. saligna,7,640,elevated,28,wet,1200,16.7,479
7,514,E. saligna,7,640,elevated,28,wet,899,16.4,491
7,514,E. saligna,7,640,elevated,28,wet,699,16.8,490
7,514,E. saligna,7,640,elevated,28,wet,500,16.1,495
7,514,E. saligna,7,640,elevated,28,wet,298,13.8,512
7,514,E. saligna,7,640,elevated,28,wet,199,11.6,526
7,514,E. saligna,7,640,elevated,28,wet,99,6.9,563
7,514,E. saligna,7,640,elevated,28,wet,60,5.15,574
7,514,E. saligna,7,640,elevated,28,wet,30,3.13,592
7,514,E. saligna,7,640,elevated,28,wet,0,0.69,622
7,514,E. saligna,7,640,elevated,34,wet,1501,14.9,449
7,514,E. saligna,7,640,elevated,34,wet,1200,16.6,464
7,514,E. saligna,7,640,elevated,34,wet,900,16.5,489
7,514,E. saligna,7,640,elevated,34,wet,700,16,505
7,514,E. saligna,7,640,elevated,34,wet,500,14.7,523
7,514,E. saligna,7,640,elevated,34,wet,300,12.1,543
7,514,E. saligna,7,640,elevated,34,wet,201,8.93,567
7,514,E. saligna,7,640,elevated,34,wet,99,4.11,594
7,514,E. saligna,7,640,elevated,34,wet,60,2.5,606
7,514,E. saligna,7,640,elevated,34,wet,30,0.85,617
7,514,E. saligna,7,640,elevated,34,wet,0,-0.49,627
7,528,E. saligna,7,640,elevated,28,wet,1501,11.4,477
7,528,E. saligna,7,640,elevated,28,wet,1201,10.6,487
7,528,E. saligna,7,640,elevated,28,wet,900,10.4,488
7,528,E. saligna,7,640,elevated,28,wet,700,10.8,485
7,528,E. saligna,7,640,elevated,28,wet,500,9.97,495
7,528,E. saligna,7,640,elevated,28,wet,299,8.37,515
7,528,E. saligna,7,640,elevated,28,wet,200,7.38,529
7,528,E. saligna,7,640,elevated,28,wet,100,4.03,573
7,528,E. saligna,7,640,elevated,28,wet,61,2.11,600
7,528,E. saligna,7,640,elevated,28,wet,30,0.3,627
7,528,E. saligna,7,640,elevated,28,wet,1,-0.85,647
7,528,E. saligna,7,640,elevated,34,wet,1499,11.1,439
7,528,E. saligna,7,640,elevated,34,wet,1201,12,450
7,528,E. saligna,7,640,elevated,34,wet,899,12.2,468
7,528,E. saligna,7,640,elevated,34,wet,699,11.8,482
7,528,E. saligna,7,640,elevated,34,wet,499,11.4,492
7,528,E. saligna,7,640,elevated,34,wet,300,10.3,502
7,528,E. saligna,7,640,elevated,34,wet,200,8.13,524
7,528,E. saligna,7,640,elevated,34,wet,100,4.29,566
7,528,E. saligna,7,640,elevated,34,wet,60,2.71,584
7,528,E. saligna,7,640,elevated,34,wet,31,0.94,607
7,528,E. saligna,7,640,elevated,34,wet,0,-1.01,644
6,477,E. saligna,6,280,elevated,28,wet,1500,8.7,233
6,477,E. saligna,6,280,elevated,28,wet,1200,8.37,232
6,477,E. saligna,6,280,elevated,28,wet,899,8.35,229
6,477,E. saligna,6,280,elevated,28,wet,700,7.93,229
6,477,E. saligna,6,280,elevated,28,wet,500,7.57,226
6,477,E. saligna,6,280,elevated,28,wet,300,6.75,230
6,477,E. saligna,6,280,elevated,28,wet,199,5.69,236
6,477,E. saligna,6,280,elevated,28,wet,100,3.5,251
6,477,E. saligna,6,280,elevated,28,wet,60,2.13,261
6,477,E. saligna,6,280,elevated,28,wet,30,0.65,271
6,477,E. saligna,6,280,elevated,28,wet,0,-0.66,282
6,477,E. saligna,6,280,elevated,34,wet,1499,7.22,217
6,477,E. saligna,6,280,elevated,34,wet,1199,7.18,215
6,477,E. saligna,6,280,elevated,34,wet,900,7.33,209
6,477,E. saligna,6,280,elevated,34,wet,700,6.71,214
6,477,E. saligna,6,280,elevated,34,wet,501,6.56,214
6,477,E. saligna,6,280,elevated,34,wet,300,5.62,219
6,477,E. saligna,6,280,elevated,34,wet,200,4.7,225
6,477,E. saligna,6,280,elevated,34,wet,100,3.04,241
6,477,E. saligna,6,280,elevated,34,wet,60,1.43,256
6,477,E. saligna,6,280,elevated,34,wet,30,0.52,266
6,477,E. saligna,6,280,elevated,34,wet,0,-1.05,283
6,459,E. saligna,6,280,elevated,28,wet,1499,11.7,231
6,459,E. saligna,6,280,elevated,28,wet,1201,11.5,229
6,459,E. saligna,6,280,elevated,28,wet,900,11,229
6,459,E. saligna,6,280,elevated,28,wet,701,10.7,229
6,459,E. saligna,6,280,elevated,28,wet,500,10.1,230
6,459,E. saligna,6,280,elevated,28,wet,301,7.84,237
6,459,E. saligna,6,280,elevated,28,wet,199,6.18,246
6,459,E. saligna,6,280,elevated,28,wet,99,3.2,260
6,459,E. saligna,6,280,elevated,28,wet,60,1.87,266
6,459,E. saligna,6,280,elevated,28,wet,30,0.57,274
6,459,E. saligna,6,280,elevated,28,wet,1,-1.5,285
6,459,E. saligna,6,280,elevated,34,wet,1499,10.9,220
